entity1,entity2,sentence,is_sentence_valid,doc_id,doc_title,doc_url,doc_source,date_published,entity1_input,entity2_input,sentence_entity,vec,old_sentence
minocycline,angiostatin,"herbimycin A, PNU145156E, 16K prolactin fragment, Linomide (roquinimex), thalidomide, pentoxifylline, genistein, TNP-470, endostatin, paclitaxel, accutin, angiostatin, cidofovir, vincristine, bleomycin, AGM-1470, platelet factor 4 or minocycline may be of use.",True,47529629,Dock-and-lock (DNL) vaccines for cancer therapy,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=09457072&OS=09457072&RS=09457072,patent_grant,1475539200.0,Minocycline,Angiostatin,"herbimycin A, PNU145156E, 16K prolactin fragment, Linomide (roquinimex), thalidomide, pentoxifylline, genistein, TNP-470, endostatin, paclitaxel, accutin, @entityb$ , cidofovir, vincristine, bleomycin, AGM-1470, platelet factor 4 or @entitya$ may be of use.","[ 0.10675044  0.13392873  0.6461929  ...  0.49573013 -0.3091
  0.34856364]",3
ly3009120,braf,"ChEMBL 1495620 Toxicity in rat assessed as hyperbilirubinemia Title: Discovery of 1-(3,3-dimethylbutyl)-3-(2-fluoro-4-methyl-5-(7-methyl-2-(methylamino)pyrido[2,3-d]pyrimidin-6-yl)phenyl)urea (LY3009120) as a pan-RAF inhibitor with minimal paradoxical activation and activity against BRAF or RAS mutant tumor cells.",True,12631978,Toxicity in rat assessed as hyperbilirubinemia,https://pubchem.ncbi.nlm.nih.gov/bioassay/1226888,bioassay,,LY3009120,BRaf,"ChEMBL 1495620 Toxicity in rat assessed as hyperbilirubinemia Title: Discovery of 1-(3,3-dimethylbutyl)-3-(2-fluoro-4-methyl-5-(7-methyl-2-(methylamino)pyrido[2,3-d]pyrimidin-6-yl)phenyl)urea ( @entitya$ ) as a pan-RAF inhibitor with minimal paradoxical activation and activity against @entityb$ or RAS mutant tumor cells.","[ 0.33333585 -0.15449981  0.26285502 ...  0.5291886  -0.38042
  0.01032197]",3
trifluoperazine,tfp,present invention have synthesized novel phenothiazine derivatives which can be used for lung cancer cells at lower concentrations than TFP (trifluoperazine) and are specific for the lung cancer cells and have found out through experiments that the novel compounds exhibit superior calcium imaging efficiency in lung cancer cells and some of them have much better efficacy than TFP (trifluoperazine).,True,14233549,Phenothiazine derivatives having CaM inhibitory activity,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=10035795&OS=10035795&RS=10035795,patent_grant,1532995200.0,trifluoperazine,TFP,present invention have synthesized novel phenothiazine derivatives which can be used for lung cancer cells at lower concentrations than @entityb$ ( @entitya$ ) and are specific for the lung cancer cells and have found out through experiments that the novel compounds exhibit superior calcium imaging efficiency in lung cancer cells and some of them have much better efficacy than @entityb$ ( @entitya$ ).,"[-0.04717152 -1.1102908  -0.5044528  ...  0.12299912  0.30951473
  0.6391393 ]",3
loxo_101,trk,"A patient with a metastatic soft tissue sarcoma with an LMNA-NTRK1 fusion had rapid and substantial tumor regression with a novel, highly-selective TRK inhibitor, LOXO-101, providing the first clinical evidence of benefit inhibiting TRK fusions.",True,16172727,An oncogenic NTRK fusion in a soft tissue sarcoma patient with response to the tropomyosin-related kinase (TRK) inhibitor LOXO-101,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4635026/,pmc,1437955200.0,LOXO-101,TRK,"A patient with a metastatic soft tissue sarcoma with an LMNA-NTRK1 fusion had rapid and substantial tumor regression with a novel, highly-selective @entityb$ inhibitor, @entitya$ , providing the first clinical evidence of benefit inhibiting @entityb$ fusions.","[-0.26846865 -0.6569047  -0.6241901  ...  0.10263136  0.24724004
  0.69810253]",37
betahistine,h1,Betahistine is not a full H1 agonist.,True,69019371,TREATMENT OF DISEASES MODULATED BY A H4 RECEPTOR AGONIST,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220130059878%22.PGNR.&OS=DN/20130059878&RS=DN/20130059878,patent_filed,1362614400.0,betahistine,H 1, @entitya$ is not a full @entityb$ agonist.,"[ 0.09739053  0.17729     0.40149823 ...  0.87843716  0.3593399
 -1.0687953 ]",37
3m_052,tlr7,"The HIV-1 gp41-derived antigens anchored in the virosome membrane, along with the adjuvant 3M-052 (TLR7/8 agonist) on the same particle, served as a candidate vaccine for the proof of concept for establishing manufacturing processes, which",True,21833710,New GMP manufacturing processes to obtain thermostable HIV-1 gp41 virosomes under solid forms for various mucosal vaccination routes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7235025/,pmc,1589760000.0,3M-052,TLR7,"The HIV-1 gp41-derived antigens anchored in the virosome membrane, along with the adjuvant @entitya$ ( @entityb$ /8 agonist) on the same particle, served as a candidate vaccine for the proof of concept for establishing manufacturing processes, which","[-0.40303436 -0.3959716  -0.45333993 ... -0.10647398 -0.28293258
  0.29896733]",1
ly3009120,braf,LY3009120 inhibits the tyrosine kinase KDR with the IC50 of 3.9 μM. [1] Cell Data Cell Lines Assay Type Concentration Incubation Time Formulation Activity Description PMID Assay Methods Test Index PMID Western blot p-EGFR / EGFR / p-BRAF / BRAF /,True,59440299,LY3009120,https://www.selleckchem.com/products/ly3009120.html,selleckchem,,LY3009120,BRaf, @entitya$ inhibits the tyrosine kinase KDR with the IC50 of 3.9 μM. [1] Cell Data Cell Lines Assay Type Concentration Incubation Time Formulation Activity Description PMID Assay Methods Test Index PMID Western blot p-EGFR / EGFR / p-BRAF / @entityb$ /,"[ 0.3055782   0.32857388  0.2813086  ...  0.4640587  -0.78479165
  0.5445425 ]",1
oxaliplatin,oct2,"18 Conversely, organic cation transporter 2 (OCT2), also known as SLC22A2, is a critical determinant in the uptake and consequent cytotoxicity of cisplatin and oxaliplatin.",True,929172,Impact of Expression Levels of Platinum-uptake Transporters Copper Transporter 1 and Organic Cation Transporter 2 on Resistance to Anthracycline/Taxane-based Chemotherapy in Triple-negative Breast Cancer,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4527352/,pmc,1438646400.0,oxaliplatin,OCT2,"18 Conversely, organic cation transporter 2 ( @entityb$ ), also known as SLC22A2, is a critical determinant in the uptake and consequent cytotoxicity of cisplatin and @entitya$ .","[-0.5721694  -0.16283742 -0.47904685 ...  0.21331087 -0.5348774
  0.58464545]",32
minocycline,angiostatin,"PNU145156E, 16K prolactin fragment, Linomide (roquinimex), thalidomide, pentoxifylline, genistein, TNP-470, endostatin, paclitaxel, accutin, angiostatin, cidofovir, vincristine, bleomycin, AGM-1470, platelet factor 4, ALK1 polypeptides (e.g., dalantercept) or minocycline may be of use in combination with one or more ActRII antagonists.",True,79741805,ACTRII ANTAGONISTS FOR USE IN INCREASING IMMUNE ACTIVITY,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220170240639%22.PGNR.&OS=DN/20170240639&RS=DN/20170240639,patent_filed,1503532800.0,Minocycline,Angiostatin,"PNU145156E, 16K prolactin fragment, Linomide (roquinimex), thalidomide, pentoxifylline, genistein, TNP-470, endostatin, paclitaxel, accutin, @entityb$ , cidofovir, vincristine, bleomycin, AGM-1470, platelet factor 4, ALK1 polypeptides (e.g., dalantercept) or @entitya$ may be of use in combination with one or more ActRII antagonists.","[-0.14215308  0.20136535  0.5432424  ...  0.62772876 -0.7263542
  0.53378826]",32
loxo_101,trk,"The increase was primarily due to earning a milestone from Loxo Oncology for the advancement of larotrectinib (LOXO-101), the TRK inhibitor for cancer and a milestone from Roche for the advancement of danoprevir, the NS3 protease inhibitor for Hepatitis",True,4170401,ARRAY BIOPHARMA INC | 8-K | 2017-02-09,https://www.sec.gov/Archives/edgar/data/0001100412/0001144204-17-006888.txt,secgov,1486598400.0,LOXO-101,TRK,"The increase was primarily due to earning a milestone from Loxo Oncology for the advancement of larotrectinib ( @entitya$ ), the @entityb$ inhibitor for cancer and a milestone from Roche for the advancement of danoprevir, the NS3 protease inhibitor for Hepatitis","[ 0.13314493 -0.7791802  -0.41044828 ... -0.00833605  0.17659272
  0.38952887]",5
akn-028,flt3,"embodiments, the subject is administered a CAR-expressing cell described herein in combination a FLT3 inhibitor, e.g., sorafenib (Bayer), midostaurin (Novartis), quizartinib (Daiichi Sankyo), crenolanib (Arog Pharmaceuticals), PLX3397 (Daiichi Sankyo), AKN-028 (Akinion Pharmaceuticals), or ASP2215 (Astellas).",True,86508421,Treatment of cancer using GFR α-4 chimeric antigen receptor,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=10851149&OS=10851149&RS=10851149,patent_grant,1606780800.0,AKN-028,FLT3,"embodiments, the subject is administered a CAR-expressing cell described herein in combination a @entityb$ inhibitor, e.g., sorafenib (Bayer), midostaurin (Novartis), quizartinib (Daiichi Sankyo), crenolanib (Arog Pharmaceuticals), PLX3397 (Daiichi Sankyo), @entitya$ (Akinion Pharmaceuticals), or ASP2215 (Astellas).","[-0.33457294 -0.06539246 -0.29488724 ...  0.19306616 -0.38460177
  0.9418512 ]",5
loxo_101,trk,"Milestones With respect to product candidates directed to TRK, including LOXO-101 and its back-up compounds, the Company could be required to pay Array up to $222 million in milestone payments, the",True,60048784,"Loxo Oncology, Inc. | 10-Q | 2015-05-14",https://www.sec.gov/Archives/edgar/data/0001581720/0001104659-15-038187.txt,secgov,1431561600.0,LOXO-101,TRK,"Milestones With respect to product candidates directed to @entityb$ , including @entitya$ and its back-up compounds, the Company could be required to pay Array up to $222 million in milestone payments, the","[-0.04756398  0.6517963  -0.5753758  ...  0.00139402  0.4027467
  0.24515985]",17
minocycline,angiostatin,"Examples of angiogenesis inhibitors include, but are not limited to, Angiostatin K1-3, DL-α-Difluoromethyl-ornithine, Endostatin, Fumagillin, Genistein, Minocycline, Staurosporine, (±)-Thalidomide, revlimid, and analogs and derivatives thereof.",True,50929547,Methods for purifying polysaccharides and pharmaceutical compositions and medical devices containing the same,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=09388252&OS=09388252&RS=09388252,patent_grant,1468281600.0,Minocycline,Angiostatin,"Examples of angiogenesis inhibitors include, but are not limited to, @entityb$ K1-3, DL-α-Difluoromethyl-ornithine, Endostatin, Fumagillin, Genistein, @entitya$ , Staurosporine, (±)-Thalidomide, revlimid, and analogs and derivatives thereof.","[-0.02852177 -0.21603602 -0.11393973 ...  0.2748894  -0.12248894
  0.3437606 ]",34
digoxin,ace,"On multivariate analysis when sex, the presence of complications, use of ACE inhibitors, use of aldactone, use of digoxin, frusemide and warfarin and age (age at entering the study) were entered into the analysis, the following",True,108739822,The medical treatment of endomyocardial fibrosis in 2009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4898559/,pmc,1293840000.0,digoxin,ACE,"On multivariate analysis when sex, the presence of complications, use of @entityb$ inhibitors, use of aldactone, use of @entitya$ , frusemide and warfarin and age (age at entering the study) were entered into the analysis, the following","[ 0.10827449 -0.42293793  0.3706153  ... -0.32717544  0.2464133
  0.59354705]",41
oxaliplatin,oct2,"Oxaliplatin is transported mainly by the uptake transporters SLC22A1/OCT1 (OMIM: 602607) and SLC22A2/OCT2 (OMIM: 602608), which play a critical role not only in cellular uptake but also",True,65832541,FOLFOX/FOLFIRI pharmacogenetics: The call for a personalized approach in colorectal cancer therapy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4130839/,pmc,1407974400.0,oxaliplatin,OCT2," @entitya$ is transported mainly by the uptake transporters SLC22A1/OCT1 (OMIM: 602607) and SLC22A2/ @entityb$ (OMIM: 602608), which play a critical role not only in cellular uptake but also","[ 0.25238147 -0.9362013  -0.28407854 ... -0.8483867  -0.378963
  0.6352883 ]",41
trifluoperazine,tfp,"( J ) Relative changes in FRET/CFP signals induced by 50 mM KCl, upon 25 μM trifluoperazine (TFP) preincubation.",True,91794649,Voltage-dependent Ca2+ channels promote branching morphogenesis of salivary glands by patterning differential growth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5954160/,pmc,1526342400.0,trifluoperazine,TFP,"( J ) Relative changes in FRET/CFP signals induced by 50 mM KCl, upon 25 μM @entitya$ ( @entityb$ ) preincubation.","[ 0.5812192   0.40739608  0.11750722 ... -0.4480577  -0.22959416
  0.39828557]",33
oxaliplatin,oct2,"Using oxaliplatin as the OCT2 substrate, a number of drugs were identified, including buflomedil, as potent inhibitors (IC 50 <2 μM) of OCT2-mediated oxaliplatin transport.",True,78615386,METHODS OF PREVENTING TOXICITY OF PLATINUM DRUGS,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220180207169%22.PGNR.&OS=DN/20180207169&RS=DN/20180207169,patent_filed,1532563200.0,oxaliplatin,OCT2,"Using @entitya$ as the @entityb$ substrate, a number of drugs were identified, including buflomedil, as potent inhibitors (IC 50 <2 μM) of OCT2-mediated @entitya$ transport.","[-0.32396767 -1.0416285  -0.08420212 ...  0.73069793 -0.55138665
  0.9237151 ]",51
trifluoperazine,tfp,"The calmodulin inhibitor, trifluoperazine (TFP) and other calmodulin inhibitors in the phenothiazine family are currently used for patients with schizophrenia and other diseases.",True,9753793,CALMODULIN INHIBITORS FOR THE TREATMENT OF RIBOSOMAL DISORDERS AND RIBOSOMAPATHIES,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220200101083%22.PGNR.&OS=DN/20200101083&RS=DN/20200101083,patent_filed,1585785600.0,trifluoperazine,TFP,"The calmodulin inhibitor, @entitya$ ( @entityb$ ) and other calmodulin inhibitors in the phenothiazine family are currently used for patients with schizophrenia and other diseases.","[-0.94910574 -0.5974701  -0.53985393 ...  0.67447287 -0.6310208
  0.4219383 ]",51
nb001,camp,NB001 Open in a separate window IC 50 values in cAMP accumulation assay in intact transfected HEK293 cells: AC1: 10 μM; AC5: 210 μM; AC6: 170,True,48899298,Inhibitors of Membranous Adenylyl Cyclases,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3273670/,pmc,1321488000.0,NB001,cAMP, @entitya$ Open in a separate window IC 50 values in @entityb$ accumulation assay in intact transfected HEK293 cells: AC1: 10 μM; AC5: 210 μM; AC6: 170,"[ 0.08304214 -0.5978586   0.13493025 ...  0.4980665   0.18569931
  0.6043853 ]",11
trifluoperazine,tfp,"Heterogeneity was reduced for three double-blind studies of add-on TCP with trifluoperazine (TFP) vs. TFP-monotherapy and resulted a pooled logOR =0.916 with 95%CI 0.216-1.616 (I 2 negative, no heterogeneity).",True,26881432,Review and meta-analysis of add-on tranylcypromine with antipsychotic drugs for the treatment of schizophrenia with predominant negative symptoms: a restoration of evidence.,https://www.ncbi.nlm.nih.gov/pubmed/33651656,pubmed,1614643200.0,trifluoperazine,TFP,"Heterogeneity was reduced for three double-blind studies of add-on TCP with @entitya$ ( @entityb$ ) vs. TFP-monotherapy and resulted a pooled logOR =0.916 with 95%CI 0.216-1.616 (I 2 negative, no heterogeneity).","[-0.359538   -0.47699395  0.5265772  ...  0.49771237  0.82557535
  0.52255625]",2
3m_052,tlr7,"was dissolved in sterile water for achieving the target concentration: About 5 μg of P1, 12 μg of rgp41, and 3 μg of 3M-052 TLR7/8 adjuvant in 0.1 mL. From each animal, pre-immune serum was collected at day 0 and immune serum at day 42 for",True,98231533,New GMP manufacturing processes to obtain thermostable HIV-1 gp41 virosomes under solid forms for various mucosal vaccination routes,https://www.nature.com/articles/s41541-020-0190-9,nature,1589752800.0,3M-052,TLR7,"was dissolved in sterile water for achieving the target concentration: About 5 μg of P1, 12 μg of rgp41, and 3 μg of @entitya$ @entityb$ /8 adjuvant in 0.1 mL. From each animal, pre-immune serum was collected at day 0 and immune serum at day 42 for","[ 0.20884642 -0.25111884  0.13018073 ... -0.20956133 -0.44773185
  0.29651102]",2
minocycline,angiostatin,"acid inhibitors including indomethacin and sulindac; tetracycline derivatives including minocycline; thalidomide derivatives; 2-methoxyestradiol; tumor necrosis factor-alpha; interferon-gamma-inducible protein 10 (IP-10); interleukin 1 and interleukin 12; interferon alpha, beta or gamma; angiostatin protein or plasminogen fragments; endostatin protein or collagen 18 fragments;",True,78592917,Method of regulating the female reproductive system through angiogenesis inhibitors,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=06441027&OS=06441027&RS=06441027,patent_grant,1030406400.0,Minocycline,Angiostatin,"acid inhibitors including indomethacin and sulindac; tetracycline derivatives including @entitya$ ; thalidomide derivatives; 2-methoxyestradiol; tumor necrosis factor-alpha; interferon-gamma-inducible protein 10 (IP-10); interleukin 1 and interleukin 12; interferon alpha, beta or gamma; @entityb$ protein or plasminogen fragments; endostatin protein or collagen 18 fragments;","[ 0.34315783 -0.13933228 -0.43972915 ...  0.4743134  -0.5474017
  0.8283444 ]",2
minocycline,angiostatin,"Medi-522 (Vitaxin II), CAI, interleukin 12, IM862, amiloride, angiostatin, Kl-3 angiostatin, Kl-5 angiostatin, Captopril, DL-alpha-difluoromethylornithine, DL-alpha-difluoromethylornithine HCl, endostatin, fumagillin, herbimycin A, 4-hydroxyphenylretinamide, juglone, laminin, laminin hexapeptide, laminin pentapeptide, lavendustin A, medroxyprogesterone, minocycline, placenta ribonuclease inhibitor, suramin, thrombospondin, antibodies directed against proangiogenic",True,425222,ANTIBODIES AGAINST THE S100P PROTEIN FOR THE TREATMENT AND DIAGNOSIS OF CANCER,https://data.epo.org/publication-server/rest/v1.2/patents/EP2665746NWB1/document.html,epo,1603839600.0,Minocycline,Angiostatin,"Medi-522 (Vitaxin II), CAI, interleukin 12, IM862, amiloride, @entityb$ , Kl-3 @entityb$ , Kl-5 @entityb$ , Captopril, DL-alpha-difluoromethylornithine, DL-alpha-difluoromethylornithine HCl, endostatin, fumagillin, herbimycin A, 4-hydroxyphenylretinamide, juglone, laminin, laminin hexapeptide, laminin pentapeptide, lavendustin A, medroxyprogesterone, @entitya$ , placenta ribonuclease inhibitor, suramin, thrombospondin, antibodies directed against proangiogenic","[ 0.00896507 -0.04516127  0.04292685 ...  0.9066826  -0.08315937
  0.12693326]",2
3m_052,tlr7,"In one embodiment of any one of the vaccine adjuvant composition, vaccine or method described, the at least one TLR7/8 agonist is selected from the group consisting of gardiquimod, imiquimod, imidazoquinoline compound R848 (resiquimod), VTX-294, 3M-052, CL087, CL097, and CL075.",True,106828552,Vaccine adjuvant compositions,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&S1=10881729&OS=10881729&RS=10881729,patent_grant,1609804800.0,3M-052,TLR7,"In one embodiment of any one of the vaccine adjuvant composition, vaccine or method described, the at least one @entityb$ /8 agonist is selected from the group consisting of gardiquimod, imiquimod, imidazoquinoline compound R848 (resiquimod), VTX-294, @entitya$ , CL087, CL097, and CL075.","[-0.9542778  -0.433121    0.03327882 ...  0.24954236 -0.0878775
  0.30006072]",2
3m_052,tlr_7,"The synthetic imidazoquinolinone 3M-052, is structurally similar to resiquimod (R848), a small molecule TLR-7/8 agonist; however, 3M-052 has",True,114340900,"3M-052, a synthetic TLR-7/8 agonist induces durable HIV-1 envelope specific plasma cells and humoral immunity in non-human primates",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8109745/,science_immunology,1620604800.0,3M-052,TLR7,"The synthetic imidazoquinolinone @entitya$ , is structurally similar to resiquimod (R848), a small molecule @entityb$ /8 agonist; however, @entitya$ has","[-0.9036014  -0.09960188 -1.0328419  ...  0.9936166  -0.80171925
  0.2776149 ]",8
ly3009120,braf,"As predicted, we show that LY3009120 is more effective than vemurafenib at inhibiting the proliferation of melanoma cells expressing truncated BRAF V600E or RAF1 (",True,65295560,Src-dependent DBL family members drive resistance to vemurafenib in human melanoma,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6774858/,pmc,1565827200.0,LY3009120,BRaf,"As predicted, we show that @entitya$ is more effective than vemurafenib at inhibiting the proliferation of melanoma cells expressing truncated @entityb$ V600E or RAF1 (","[ 0.41271266  0.07242425  0.8436408  ...  0.74052244  0.08723801
 -0.18996722]",8
loxo_101,trk,"Upcoming milestones are expected to include: • Continued enrollment of the LOXO-101 Phase 2 global, multi-center, single-arm, open-label basket trial in adult patients with solid tumors that harbor a TRK fusion, with an enrollment update expected in the second half of",True,105030087,Loxo Oncology TRK Inhibitor LOXO-101 Shows Durable Anti-Tumor Activity Across TRK Fusion Cancers In AACR Phase 1 Update,https://www.biospace.com/article/releases/loxo-oncology-trk-inhibitor-loxo-101-shows-durable-anti-tumor-activity-across-trk-fusion-cancers-in-aacr-phase-1-update-/,biospace,1460930400.0,LOXO-101,TRK,"Upcoming milestones are expected to include: • Continued enrollment of the @entitya$ Phase 2 global, multi-center, single-arm, open-label basket trial in adult patients with solid tumors that harbor a @entityb$ fusion, with an enrollment update expected in the second half of","[-0.2989222  -0.12159918 -0.50040865 ... -0.5315605  -0.00924725
  0.61910224]",8
ly3009120,braf,"prevalence of KRAS and BRAF mutations in CRC [ 39 ], as well as the involvement of the aforementioned mutations in acquired resistance to therapy [ 40 ] we hypothesized that a panRAF inhibitor like LY3009120 would have preclinical activity in this tumor setting.",True,44961836,"LY3009120, a panRAF inhibitor, has significant anti-tumor activity in BRAF and KRAS mutant preclinical models of colorectal cancer",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5354729/,pmc,1481846400.0,LY3009120,BRaf,"prevalence of KRAS and @entityb$ mutations in CRC [ 39 ], as well as the involvement of the aforementioned mutations in acquired resistance to therapy [ 40 ] we hypothesized that a panRAF inhibitor like @entitya$ would have preclinical activity in this tumor setting.","[ 0.02301254 -0.2954671   0.48934966 ...  0.21427226  0.87915385
  0.14676952]",8
digoxin,ace,"(aspirin, Cox-2 inhibitors, and other nonsteroidal inflammatory medications), steroids, beta-blockers (± diuretics), ACE inhibitors (± diuretics), ARBs (± diuretics), any diuretic alone (including potassium-sparking diuretics), leukotriene antagonists, and digoxin.",True,82789640,"Histamine H2 Receptor Antagonists, Left Ventricular Morphology, and Heart Failure Risk: MESA",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4860615/,pmc,1459814400.0,digoxin,ACE,"(aspirin, Cox-2 inhibitors, and other nonsteroidal inflammatory medications), steroids, beta-blockers (± diuretics), @entityb$ inhibitors (± diuretics), ARBs (± diuretics), any diuretic alone (including potassium-sparking diuretics), leukotriene antagonists, and @entitya$ .","[ 0.12175793  0.11450327 -0.36279148 ...  0.03945879 -0.08236037
  0.53116125]",8
minocycline,angiostatin,"Medi-522 (Vitaxin II), CAI, interleukin 12, IM862, amiloride, angiostatin, Kl-3 angiostatin, Kl-5 angiostatin, Captopril, DL-alpha-difluoromethylornithine, DL-alpha-difluoromethylornithine HCl, endostatin, fumagillin, herbimycin A, 4-Hydroxyphenylretinamide, juglone, laminin, laminin hexapeptide, laminin pentapeptide, lavendustin A, medroxyprogesterone, minocycline, placenta ribonuclease inhibitor, suramin, thrombospondin, antibodies directed against proangiogenic",True,3252534,METHODS AND COMPOSITIONS FOR THE TREATMENT OF CANCER,https://data.epo.org/publication-server/rest/v1.2/patents/EP3545966NWA1/document.html,epo,1569967200.0,Minocycline,Angiostatin,"Medi-522 (Vitaxin II), CAI, interleukin 12, IM862, amiloride, @entityb$ , Kl-3 @entityb$ , Kl-5 @entityb$ , Captopril, DL-alpha-difluoromethylornithine, DL-alpha-difluoromethylornithine HCl, endostatin, fumagillin, herbimycin A, 4-Hydroxyphenylretinamide, juglone, laminin, laminin hexapeptide, laminin pentapeptide, lavendustin A, medroxyprogesterone, @entitya$ , placenta ribonuclease inhibitor, suramin, thrombospondin, antibodies directed against proangiogenic","[ 0.00896507 -0.04516127  0.04292685 ...  0.9066826  -0.08315937
  0.12693326]",9
ly3009120,braf,"Ponatinib inhibited BRAF V600E (IC 50 = 14 nM) and BRAF WT (IC 50 = 278 nM) comparably to Vemurafenib, Dabrafenib, and Encorafenib inhibitors but also to LY3009120, AZ-628, and TAK-632 that inhibit both monomers and dimers (Fig. 1h and Supplementary Fig. 5 ) 11 , 12 .",True,4901799,Inhibitors of BRAF dimers using an allosteric site,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7462985/,pmc,1598918400.0,LY3009120,BRAF,"Ponatinib inhibited @entityb$ V600E (IC 50 = 14 nM) and @entityb$ WT (IC 50 = 278 nM) comparably to Vemurafenib, Dabrafenib, and Encorafenib inhibitors but also to @entitya$ , AZ-628, and TAK-632 that inhibit both monomers and dimers (Fig. 1h and Supplementary Fig. 5 ) 11 , 12 .","[ 0.3409084  -0.11361994 -0.07315936 ... -0.23569185 -0.22101137
  0.33926404]",9
thyroxine,thyroid hormone receptor,"The thyroid hormone receptor beta (THR‐β) is the predominant liver thyroxine (T4) receptor, through which increased cholesterol metabolism and excretion through bile is mediated.",True,109171188,Review article: new treatments in non-alcoholic fatty liver disease.,https://www.ncbi.nlm.nih.gov/pubmed/28677333,pubmed,1496095200.0,thyroxine,thyroid hormone receptor,"The @entityb$ beta (THR‐β) is the predominant liver @entitya$ (T4) receptor, through which increased cholesterol metabolism and excretion through bile is mediated.","[-0.4271923   0.2153202  -0.65618366 ...  0.0913812  -0.5950875
 -0.10799852]",9
medi9197,pd_l1,"This first-time-in-human, phase 1 study evaluated MEDI9197 with or without the programmed cell death ligand-1 (PD-L1) inhibitor",True,12619670,Safety and clinical activity of intratumoral MEDI9197 alone and in combination with durvalumab and/or palliative radiation therapy in patients with advanced solid tumors,https://doaj.org/article/1cea92e961774c018a7c1b71c547d92b,doaj,1602334871.0,MEDI9197,PD-L1,"This first-time-in-human, phase 1 study evaluated @entitya$ with or without the programmed cell death ligand-1 ( @entityb$ ) inhibitor","[-0.70710254 -0.39025548 -0.8087465  ...  0.29884085 -0.04050563
  0.43172157]",9
loxo_101,trk,"Loxo and granted Loxo exclusive rights to develop and commercialize certain Array-invented compounds targeted at the tropomyosin kinase (""Trk"") family of receptors, including LOXO-101, which is currently in Phase 1 and Phase 2 clinical trials.",True,80368843,ARRAY BIOPHARMA INC | 10-K | 2016-08-19,https://www.sec.gov/Archives/edgar/data/0001100412/0001100412-16-000048.txt,secgov,1471564800.0,LOXO-101,TRK,"Loxo and granted Loxo exclusive rights to develop and commercialize certain Array-invented compounds targeted at the tropomyosin kinase ("" @entityb$ "") family of receptors, including @entitya$ , which is currently in Phase 1 and Phase 2 clinical trials.","[-0.5709572  -0.14272773 -0.41239572 ... -0.11287337  0.13310742
  1.3153797 ]",9
